time,open,high,low,close,tick_volume,spread,real_volume,time_d,Day
2025-09-16 14:00:00,4.25172,4.25342,4.25052,4.25072,1050,240,0,2025-09-16,Tuesday
2025-09-16 15:00:00,4.25072,4.2514199999999995,4.24902,4.24982,444,246,0,2025-09-16,Tuesday
2025-09-16 16:00:00,4.24982,4.25032,4.24872,4.24882,990,252,0,2025-09-16,Tuesday
2025-09-16 17:00:00,4.24882,4.24892,4.24712,4.24782,534,266,0,2025-09-16,Tuesday
2025-09-16 18:00:00,4.24782,4.2479,4.247,4.2476,468,286,0,2025-09-16,Tuesday
2025-09-16 19:00:00,4.2476,4.2498,4.24673,4.2477,266,280,0,2025-09-16,Tuesday
2025-09-16 20:00:00,4.24598,4.24894,4.24575,4.24655,237,482,0,2025-09-16,Tuesday
2025-09-16 21:00:00,4.24807,4.24957,4.24564,4.24623,372,456,0,2025-09-16,Tuesday
2025-09-16 22:00:00,4.24757,4.24802,4.24581,4.24787,877,362,0,2025-09-16,Tuesday
2025-09-16 23:00:00,4.24802,4.24872,4.24641,4.24822,596,315,0,2025-09-16,Tuesday
2025-09-17 00:00:00,4.24812,4.24882,4.24742,4.24872,374,276,0,2025-09-17,Wednesday
2025-09-17 01:00:00,4.24872,4.24912,4.24618,4.24892,711,296,0,2025-09-17,Wednesday
2025-09-17 02:00:00,4.24892,4.24912,4.24618,4.24902,753,286,0,2025-09-17,Wednesday
2025-09-17 03:00:00,4.24902,4.24932,4.24603,4.24902,684,286,0,2025-09-17,Wednesday
2025-09-17 04:00:00,4.24902,4.24912,4.24606,4.24792,199,256,0,2025-09-17,Wednesday
2025-09-17 05:00:00,4.24792,4.25222,4.24652,4.25112,2666,240,0,2025-09-17,Wednesday
2025-09-17 06:00:00,4.25094,4.25232,4.25032,4.25112,1186,240,0,2025-09-17,Wednesday
2025-09-17 07:00:00,4.25112,4.25492,4.25062,4.25478,887,246,0,2025-09-17,Wednesday
2025-09-17 08:00:00,4.25478,4.25503,4.2510200000000005,4.25202,1426,241,0,2025-09-17,Wednesday
2025-09-17 09:00:00,4.25202,4.25382,4.25122,4.25292,1078,240,0,2025-09-17,Wednesday
2025-09-17 10:00:00,4.25292,4.25482,4.25162,4.25212,1511,241,0,2025-09-17,Wednesday
2025-09-17 11:00:00,4.25152,4.25392,4.25092,4.25342,2550,240,0,2025-09-17,Wednesday
2025-09-17 12:00:00,4.25342,4.25432,4.25202,4.25252,1914,240,0,2025-09-17,Wednesday
2025-09-17 13:00:00,4.25252,4.25302,4.24752,4.2510200000000005,1357,240,0,2025-09-17,Wednesday
2025-09-17 14:00:00,4.2510200000000005,4.25392,4.25072,4.25132,726,240,0,2025-09-17,Wednesday
2025-09-17 15:00:00,4.25112,4.25132,4.25042,4.25072,284,246,0,2025-09-17,Wednesday
2025-09-17 16:00:00,4.25072,4.25248,4.25052,4.25198,337,245,0,2025-09-17,Wednesday
2025-09-17 17:00:00,4.25198,4.25307,4.24738,4.25182,911,240,0,2025-09-17,Wednesday
2025-09-17 18:00:00,4.25181,4.2533,4.2508,4.25266,1820,240,0,2025-09-17,Wednesday
2025-09-17 19:00:00,4.2527,4.2533,4.25168,4.25168,440,332,0,2025-09-17,Wednesday
2025-09-17 20:00:00,4.24808,4.25003,4.24525,4.24979,155,600,0,2025-09-17,Wednesday
2025-09-17 21:00:00,4.2497,4.25177,4.24925,4.24977,436,422,0,2025-09-17,Wednesday
2025-09-17 22:00:00,4.24977,4.25352,4.24977,4.25253,477,392,0,2025-09-17,Wednesday
2025-09-17 23:00:00,4.25253,4.26102,4.25253,4.26022,1455,240,0,2025-09-17,Wednesday
2025-09-18 00:00:00,4.26022,4.26202,4.25802,4.26142,1087,251,0,2025-09-18,Thursday
2025-09-18 01:00:00,4.26142,4.26212,4.26102,4.26142,632,291,0,2025-09-18,Thursday
2025-09-18 02:00:00,4.26142,4.26202,4.25946,4.26172,399,241,0,2025-09-18,Thursday
2025-09-18 03:00:00,4.26172,4.26212,4.25843,4.26212,416,240,0,2025-09-18,Thursday
2025-09-18 04:00:00,4.26212,4.26272,4.26036,4.26192,612,240,0,2025-09-18,Thursday
2025-09-18 05:00:00,4.26192,4.26342,4.25502,4.25622,1794,240,0,2025-09-18,Thursday
2025-09-18 06:00:00,4.25622,4.25622,4.25072,4.25362,1538,240,0,2025-09-18,Thursday
2025-09-18 07:00:00,4.2531,4.25912,4.2531,4.25462,2003,240,0,2025-09-18,Thursday
2025-09-18 08:00:00,4.25462,4.25602,4.25222,4.25582,1900,240,0,2025-09-18,Thursday
2025-09-18 09:00:00,4.25592,4.25602,4.25212,4.25348,1623,240,0,2025-09-18,Thursday
2025-09-18 10:00:00,4.25348,4.25532,4.25192,4.25507,1104,240,0,2025-09-18,Thursday
2025-09-18 11:00:00,4.25507,4.25722,4.25392,4.25652,1633,240,0,2025-09-18,Thursday
2025-09-18 12:00:00,4.25637,4.26022,4.25522,4.25852,2596,245,0,2025-09-18,Thursday
2025-09-18 13:00:00,4.25852,4.26068,4.25632,4.25982,3223,240,0,2025-09-18,Thursday
2025-09-18 14:00:00,4.25982,4.26052,4.25762,4.25972,1448,240,0,2025-09-18,Thursday
2025-09-18 15:00:00,4.25972,4.26052,4.25812,4.25892,1933,251,0,2025-09-18,Thursday
2025-09-18 16:00:00,4.25902,4.25982,4.25735,4.25752,1115,241,0,2025-09-18,Thursday
2025-09-18 17:00:00,4.25742,4.25832,4.25722,4.25832,523,261,0,2025-09-18,Thursday
2025-09-18 18:00:00,4.25832,4.26045,4.2576,4.26045,493,250,0,2025-09-18,Thursday
2025-09-18 19:00:00,4.26045,4.26117,4.25868,4.25868,361,245,0,2025-09-18,Thursday
2025-09-18 20:00:00,4.2550799999999995,4.25887,4.25485,4.25777,206,465,0,2025-09-18,Thursday
2025-09-18 21:00:00,4.25777,4.25887,4.25561,4.25616,330,345,0,2025-09-18,Thursday
2025-09-18 22:00:00,4.2565100000000005,4.25955,4.25587,4.25955,232,347,0,2025-09-18,Thursday
2025-09-18 23:00:00,4.25955,4.25957,4.25679,4.25697,231,323,0,2025-09-18,Thursday
2025-09-19 00:00:00,4.25698,4.26007,4.25663,4.26007,172,316,0,2025-09-19,Friday
2025-09-19 01:00:00,4.26007,4.26007,4.25718,4.25752,698,321,0,2025-09-19,Friday
2025-09-19 02:00:00,4.25753,4.26007,4.25718,4.25905,403,278,0,2025-09-19,Friday
